dt,price_gbp,crypto
2019-08-11 00:00:00.000,4.192689079117459e-05,ecomi
2019-08-12 00:00:00.000,4.157100810637202e-05,ecomi
2019-08-13 00:00:00.000,3.886069565899566e-05,ecomi
2019-08-14 00:00:00.000,3.639296152941446e-05,ecomi
2019-08-15 00:00:00.000,3.683500408809986e-05,ecomi
2019-08-16 00:00:00.000,3.7298270652479555e-05,ecomi
2019-08-17 00:00:00.000,4.508982160805405e-05,ecomi
2019-08-18 00:00:00.000,4.532356820173803e-05,ecomi
2019-08-19 00:00:00.000,4.527729773028582e-05,ecomi
2019-08-20 00:00:00.000,4.521160240265554e-05,ecomi
2019-08-21 00:00:00.000,4.045891621601025e-05,ecomi
2019-08-22 00:00:00.000,4.281146743482404e-05,ecomi
2019-08-23 00:00:00.000,4.399719706352516e-05,ecomi
2019-08-24 00:00:00.000,4.041609927935083e-05,ecomi
2019-08-25 00:00:00.000,4.393324279662125e-05,ecomi
2019-08-26 00:00:00.000,4.4477378189499494e-05,ecomi
2019-08-27 00:00:00.000,4.1260402528383124e-05,ecomi
2019-08-28 00:00:00.000,4.10548559549357e-05,ecomi
2019-08-29 00:00:00.000,3.963376338499273e-05,ecomi
2019-08-30 00:00:00.000,4.592820731359187e-05,ecomi
2019-08-31 00:00:00.000,4.614360898080113e-05,ecomi
2019-09-01 00:00:00.000,5.27209086116898e-05,ecomi
2019-09-02 00:00:00.000,4.4304838998921574e-05,ecomi
2019-09-03 00:00:00.000,4.967389221817526e-05,ecomi
2019-09-04 00:00:00.000,4.385451916174381e-05,ecomi
2019-09-05 00:00:00.000,5.247733273871481e-05,ecomi
2019-09-06 00:00:00.000,5.466588028572406e-05,ecomi
2019-09-07 00:00:00.000,5.1347487102345406e-05,ecomi
2019-09-08 00:00:00.000,4.719491058172199e-05,ecomi
2019-09-09 00:00:00.000,4.8488287863979175e-05,ecomi
2019-09-10 00:00:00.000,5.186862169288784e-05,ecomi
2019-09-11 00:00:00.000,4.530274211145132e-05,ecomi
2019-09-12 00:00:00.000,4.464376393439707e-05,ecomi
2019-09-13 00:00:00.000,4.8078803497399064e-05,ecomi
2019-09-14 00:00:00.000,4.723210200501729e-05,ecomi
2019-09-15 00:00:00.000,4.7225060415305445e-05,ecomi
2019-09-16 00:00:00.000,4.7151300643413244e-05,ecomi
2019-09-17 00:00:00.000,4.453182059116491e-05,ecomi
2019-09-18 00:00:00.000,4.000628192472781e-05,ecomi
2019-09-19 00:00:00.000,4.00712791465827e-05,ecomi
2019-09-20 00:00:00.000,3.9040026569925966e-05,ecomi
2019-09-21 00:00:00.000,3.9234575697774375e-05,ecomi
2019-09-22 00:00:00.000,3.9634512990229675e-05,ecomi
2019-09-23 00:00:00.000,4.3740151897102696e-05,ecomi
2019-09-24 00:00:00.000,3.82292497278419e-05,ecomi
2019-09-25 00:00:00.000,3.7181233991511655e-05,ecomi
2019-09-26 00:00:00.000,3.856645243123823e-05,ecomi
2019-09-27 00:00:00.000,4.4270350811448394e-05,ecomi
2019-09-28 00:00:00.000,3.8619898267778564e-05,ecomi
2019-09-29 00:00:00.000,3.872765444633268e-05,ecomi
2019-09-30 00:00:00.000,3.872765444633268e-05,ecomi
2019-10-01 00:00:00.000,4.3134631637995865e-05,ecomi
2019-10-02 00:00:00.000,5.282171719515098e-05,ecomi
2019-10-03 00:00:00.000,5.282171719515098e-05,ecomi
2019-10-04 00:00:00.000,5.277884086289776e-05,ecomi
2019-10-05 00:00:00.000,5.277884086289776e-05,ecomi
2019-10-06 00:00:00.000,5.27981733898738e-05,ecomi
2019-10-07 00:00:00.000,5.273892739941477e-05,ecomi
2019-10-08 00:00:00.000,5.289186027665816e-05,ecomi
2019-10-09 00:00:00.000,5.3212996129322953e-05,ecomi
2019-10-10 00:00:00.000,5.3268658953472746e-05,ecomi
2019-10-11 00:00:00.000,3.9773672127166444e-05,ecomi
2019-10-12 00:00:00.000,4.644211423223331e-05,ecomi
2019-10-13 00:00:00.000,4.4011953495711426e-05,ecomi
2019-10-14 00:00:00.000,4.5486325970353484e-05,ecomi
2019-10-15 00:00:00.000,4.5702402395179444e-05,ecomi
2019-10-16 00:00:00.000,3.743837564234487e-05,ecomi
2019-10-17 00:00:00.000,3.733654727820983e-05,ecomi
2019-10-18 00:00:00.000,4.55838891395798e-05,ecomi
2019-10-19 00:00:00.000,4.476142122152716e-05,ecomi
2019-10-20 00:00:00.000,4.4737062717476424e-05,ecomi
2019-10-21 00:00:00.000,3.8935208312433844e-05,ecomi
2019-10-22 00:00:00.000,3.88103985041798e-05,ecomi
2019-10-23 00:00:00.000,3.960416184529144e-05,ecomi
2019-10-24 00:00:00.000,4.4273354980210666e-05,ecomi
2019-10-25 00:00:00.000,4.4843596065419425e-05,ecomi
2019-10-26 00:00:00.000,3.705479993141831e-05,ecomi
2019-10-27 00:00:00.000,4.4757340335586805e-05,ecomi
2019-10-28 00:00:00.000,3.66231306631226e-05,ecomi
2019-10-29 00:00:00.000,3.7011974327379006e-05,ecomi
2019-10-30 00:00:00.000,4.406743452448973e-05,ecomi
2019-10-31 00:00:00.000,3.690341467476713e-05,ecomi
2019-11-01 00:00:00.000,3.661028540015559e-05,ecomi
2019-11-02 00:00:00.000,3.8629545390996124e-05,ecomi
2019-11-03 00:00:00.000,3.868937216090645e-05,ecomi
2019-11-04 00:00:00.000,3.257564958686385e-05,ecomi
2019-11-05 00:00:00.000,3.570225649097674e-05,ecomi
2019-11-06 00:00:00.000,3.5929140385409434e-05,ecomi
2019-11-07 00:00:00.000,4.4316443442281796e-05,ecomi
2019-11-08 00:00:00.000,3.6167922398573633e-05,ecomi
2019-11-09 00:00:00.000,4.456982625539561e-05,ecomi
2019-11-10 00:00:00.000,3.6051368868743165e-05,ecomi
2019-11-11 00:00:00.000,2.9342010806599876e-05,ecomi
2019-11-12 00:00:00.000,3.637502200136552e-05,ecomi
2019-11-13 00:00:00.000,3.7138815739920656e-05,ecomi
2019-11-14 00:00:00.000,2.8123673776181785e-05,ecomi
2019-11-15 00:00:00.000,2.9358132175426348e-05,ecomi
2019-11-16 00:00:00.000,3.010691895335264e-05,ecomi
2019-11-17 00:00:00.000,2.7591796429711887e-05,ecomi
2019-11-18 00:00:00.000,2.57892156042699e-05,ecomi
2019-11-19 00:00:00.000,2.567777865605697e-05,ecomi
2019-11-20 00:00:00.000,1.6907763321628713e-05,ecomi
2019-11-21 00:00:00.000,2.8247231444339394e-05,ecomi
2019-11-22 00:00:00.000,2.2871993551158882e-05,ecomi
2019-11-23 00:00:00.000,2.7745016584865408e-05,ecomi
2019-11-24 00:00:00.000,1.9498838996767055e-05,ecomi
2019-11-25 00:00:00.000,1.791490206678958e-05,ecomi
2019-11-26 00:00:00.000,2.1732937961931335e-05,ecomi
2019-11-27 00:00:00.000,2.4057525022118276e-05,ecomi
2019-11-28 00:00:00.000,2.2946297791069937e-05,ecomi
2019-11-29 00:00:00.000,2.4960519709287248e-05,ecomi
2019-11-30 00:00:00.000,2.3186312964572018e-05,ecomi
2019-12-01 00:00:00.000,2.6884061818822344e-05,ecomi
2019-12-02 00:00:00.000,2.591983816694462e-05,ecomi
2019-12-03 00:00:00.000,2.5897078265261916e-05,ecomi
2019-12-04 00:00:00.000,3.309348026815999e-05,ecomi
2019-12-05 00:00:00.000,3.3543571443615165e-05,ecomi
2019-12-06 00:00:00.000,2.626284378097917e-05,ecomi
2019-12-07 00:00:00.000,2.3824998459240807e-05,ecomi
2019-12-08 00:00:00.000,2.3791962358680833e-05,ecomi
2019-12-09 00:00:00.000,3.0473143985022704e-05,ecomi
2019-12-10 00:00:00.000,2.6284914159668073e-05,ecomi
2019-12-11 00:00:00.000,2.6159081300211055e-05,ecomi
2019-12-12 00:00:00.000,3.0318943056577643e-05,ecomi
2019-12-13 00:00:00.000,3.610296796721031e-05,ecomi
2019-12-14 00:00:00.000,3.5687422017894174e-05,ecomi
2019-12-15 00:00:00.000,3.373829431709066e-05,ecomi
2019-12-16 00:00:00.000,3.3010021922326676e-05,ecomi
2019-12-17 00:00:00.000,3.3136012934846515e-05,ecomi
2019-12-18 00:00:00.000,2.848586370202387e-05,ecomi
2019-12-19 00:00:00.000,2.8659959658228566e-05,ecomi
2019-12-20 00:00:00.000,3.257893837920735e-05,ecomi
2019-12-21 00:00:00.000,3.297174075555443e-05,ecomi
2019-12-22 00:00:00.000,3.261277432602173e-05,ecomi
2019-12-23 00:00:00.000,3.242624439140312e-05,ecomi
2019-12-24 00:00:00.000,3.2744394391469654e-05,ecomi
2019-12-25 00:00:00.000,3.193466110409087e-05,ecomi
2019-12-26 00:00:00.000,3.160864908955174e-05,ecomi
2019-12-27 00:00:00.000,3.003988493140235e-05,ecomi
2019-12-28 00:00:00.000,3.010431247692742e-05,ecomi
2019-12-29 00:00:00.000,2.9256470494079002e-05,ecomi
2019-12-30 00:00:00.000,2.845883258459318e-05,ecomi
2019-12-31 00:00:00.000,2.7984266593585608e-05,ecomi
2020-01-01 00:00:00.000,2.795951599355146e-05,ecomi
2020-01-02 00:00:00.000,2.8631119063071957e-05,ecomi
2020-01-03 00:00:00.000,2.8043416248614782e-05,ecomi
2020-01-04 00:00:00.000,2.9957459289279204e-05,ecomi
2020-01-05 00:00:00.000,2.9313669146154202e-05,ecomi
2020-01-06 00:00:00.000,2.8722456137623668e-05,ecomi
2020-01-07 00:00:00.000,2.731067523932499e-05,ecomi
2020-01-08 00:00:00.000,2.8144631493405843e-05,ecomi
2020-01-09 00:00:00.000,2.9618269150954782e-05,ecomi
2020-01-10 00:00:00.000,2.9212893394402362e-05,ecomi
2020-01-11 00:00:00.000,2.69673437179926e-05,ecomi
2020-01-12 00:00:00.000,2.652888119184523e-05,ecomi
2020-01-13 00:00:00.000,2.728078508064083e-05,ecomi
2020-01-14 00:00:00.000,2.6543460342216315e-05,ecomi
2020-01-15 00:00:00.000,2.7044666384637494e-05,ecomi
2020-01-16 00:00:00.000,2.4689260277410885e-05,ecomi
2020-01-17 00:00:00.000,2.4258249705334135e-05,ecomi
2020-01-18 00:00:00.000,2.619082780624603e-05,ecomi
2020-01-19 00:00:00.000,2.723501938067877e-05,ecomi
2020-01-20 00:00:00.000,2.6339768180420888e-05,ecomi
2020-01-21 00:00:00.000,2.3343926350930588e-05,ecomi
2020-01-22 00:00:00.000,2.2187642858799267e-05,ecomi
2020-01-23 00:00:00.000,2.2066600544420872e-05,ecomi
2020-01-24 00:00:00.000,2.0946108639952068e-05,ecomi
2020-01-25 00:00:00.000,2.2834470614139467e-05,ecomi
2020-01-26 00:00:00.000,2.279510988975345e-05,ecomi
